#,Target,Mode,IP,URL Rating,Domain Rating,Ahrefs Rank,Domains,Ref domains Dofollow,Ref domains Governmental,Ref domains Educational,Ref IPs,Ref SubNets,Linked Domains,Total Backlinks,Backlinks Text,Backlinks NoFollow,Backlinks Redirect,Backlinks Image,Backlinks Frame,Backlinks Form,Backlinks Governmental,Backlinks Educational,Total Keywords,Total Traffic (desc)
§,lånprivat.se,subdomains,35.228.119.231,,57,356293,221,203,1,0,210,165,28,14611,14594,26,15,34,0,0,1,0,547,342
2,låna100000.nu,subdomains,35.228.53.67,,54,487619,155,147,0,0,140,110,17,14426,14418,28,8,69,0,0,0,0,69,26
11,flighton.se,subdomains,91.201.60.88,,52,558215,189,157,0,1,175,153,24,2177,2161,204,16,420,0,0,0,2,33,0
3,lånblanco.nu,subdomains,35.228.119.231,,51,620879,138,135,0,1,132,109,14,7314,7312,6,2,16,0,0,0,16,208,11
20,aerius.se,subdomains,35.214.162.255,,50,723085,245,152,0,5,224,204,25,716,715,295,1,45,0,0,0,6,576,4095
4,lanapengarguide.se,subdomains,35.228.119.231,,48,852174,135,111,0,1,124,102,24,683,677,63,6,135,0,0,0,2,60,20
9,naprapatistockholm.nu,subdomains,35.228.53.67,,46,1030032,117,96,0,0,105,93,7,450,415,22,35,12,0,0,0,0,46,40
553,solvify.se,subdomains,,,43,1251138,,,,,,,,,,,,,,,,,,
1,vvsinstallationerstockholm.se,subdomains,35.228.119.231,,41,1417775,62,52,0,0,69,59,9,367,362,19,4,115,0,0,0,0,30,28
83,lanes.org,subdomains,,,38,1838378,169,132,0,4,141,121,9,6922,6914,179,0,287,4,0,0,1320,0,0
1,renoverabadrumpris.se,subdomains,35.228.128.110,,38,1891838,33,30,0,1,32,28,3,140,138,2,2,3,0,0,0,4,142,10
24,samlalånochkrediter.com,subdomains,35.228.132.196,,38,1921066,58,57,0,0,68,58,8,629,629,2,0,113,0,0,0,0,51,1
179,danmarks.nu,subdomains,185.133.206.152,,38,1926795,47,38,0,0,40,40,57,294,289,61,4,28,1,0,0,0,0,0
6,www.ruthstromsvvs.se,subdomains,188.114.244.24,,38,1976079,10,10,0,0,8,5,1,15,14,0,0,2,0,0,0,0,0,0
1,zaralarsson.nu,subdomains,35.228.119.231,,38,1984797,289,226,0,1,257,236,37,13658,13625,223,31,115,0,0,0,2,409,7612
5,mäklareistockholm.nu,subdomains,35.228.53.67,,37,2053887,84,65,0,0,84,79,10,465,445,21,20,11,0,0,0,0,56,64
7,tandläkareistockholm.nu,subdomains,35.228.53.67,,35,2409149,103,79,0,0,111,99,5,392,378,55,14,34,0,0,0,0,50,31
175,seo-byrå.nu,subdomains,185.133.206.152,,35,2414949,47,38,0,0,50,48,15,328,325,12,3,94,0,0,0,0,0,0
1,www.luaconf.com,subdomains,94.46.113.18,,35,2507380,7,6,0,1,7,6,1,19,19,1,0,0,0,0,0,2,0,0
2,solcellerstockholm.se,subdomains,35.228.128.110,,35,2572100,60,44,0,0,62,55,1,238,234,25,4,2,0,0,0,0,55,36
119,sickdesigner.com,subdomains,,,35,2675940,400,287,0,0,350,314,1,2682,2627,312,22,233,0,0,0,0,0,0
1,begravningsbyråerstockholm.se,subdomains,35.228.119.231,,35,2678554,51,44,0,0,55,46,10,1217,1214,10,3,1,0,0,0,0,21,22
48,ilskestudien.se,subdomains,94.46.113.52,,34,2695656,14,11,0,3,12,11,20,33,31,6,2,2,0,0,0,11,1,0
6,ftxsystem.se,subdomains,35.228.128.110,,34,2849131,38,35,0,0,37,33,12,186,184,3,2,4,0,0,0,0,106,177
132,campconnect.se,subdomains,,,34,2944720,4,3,0,0,3,3,2,9,9,1,0,0,0,0,0,0,0,0
3,familjerättstockholm.se,subdomains,35.228.53.67,,34,2984154,42,37,0,0,41,40,16,214,214,8,0,2,0,0,0,0,54,135
4,advokatbyråstockholm.nu,subdomains,35.228.119.231,,33,3005968,70,57,0,0,69,63,8,476,470,198,6,16,0,0,0,0,38,177
18,kvforetagen.se,subdomains,188.114.96.2,,33,3113262,68,55,0,1,92,82,22,520,512,173,8,90,0,0,0,13,1,4
6,varmepumparstockholm.nu,subdomains,35.228.53.67,,33,3147340,42,34,0,0,41,40,12,182,174,12,8,32,0,0,0,0,9,0
2,badrumsrenoveringaristockholm.nu,subdomains,91.201.60.88,,33,3201423,27,27,0,0,30,27,1,214,214,0,0,5,0,0,0,0,18,26
134,os2ug.se,subdomains,188.114.233.116,,32,3346541,249,194,0,2,263,214,54,20385,20167,201,202,171,0,0,0,13,0,0
71,amptron.com,subdomains,82.102.5.103,,32,3354743,690,480,0,3,727,581,32,12236,12220,2946,8,52,8,0,0,6,0,0
4,sangarstockholm.se,subdomains,35.228.53.67,,32,3401863,47,39,0,0,59,57,5,396,388,15,8,1,0,0,0,0,112,351
15,stötvågsbehandlingstockholm.se,subdomains,35.228.53.67,,32,3449320,29,25,0,0,27,26,7,117,114,6,3,19,0,0,0,0,24,32
3,värmepumparistockholm.nu,subdomains,35.228.53.67,,32,3547580,23,21,0,0,24,22,10,105,105,7,0,0,0,0,0,0,28,9
27,webestilo.com,subdomains,,,31,3738797,875,692,0,22,577,485,0,42951,42906,1710,5,325,27,1,0,253,0,0
7,stockholmbergvärme.se,subdomains,35.228.119.231,,31,3908706,33,28,0,0,36,32,6,133,133,19,0,16,0,0,0,0,34,121
5,valkompassen.nu,subdomains,35.228.128.110,,30,4181613,51,38,0,0,50,44,20,131,126,30,5,8,0,0,0,0,60,27
25,idrottsskadorstockholm.nu,subdomains,35.228.53.67,,30,4217614,24,20,0,0,26,24,6,142,138,13,4,10,0,0,0,0,14,3
2,visiamarknad.se,subdomains,93.188.2.51,,30,4242980,28,26,0,0,26,23,9,83,83,2,0,0,0,0,0,0,2,2
20,värmepumpstockholm.nu,subdomains,35.228.53.67,,30,4249202,29,23,0,0,30,29,6,271,262,30,9,2,0,0,0,0,18,0
6,advokatbyråmalmö.com,subdomains,35.228.119.231,,29,4752894,32,30,0,0,34,28,8,111,111,3,0,0,0,0,0,0,57,183
101,treppenlifter.biz,subdomains,185.133.206.152,,28,5065426,19,12,0,0,21,20,20,152,152,68,0,1,0,0,0,0,0,0
5,shibainfo.com,subdomains,94.46.51.127,,29,5107922,200,153,0,1,203,168,262,4220,4212,101,2,329,0,0,0,1,3,0
7,elinstallationerstockholm.nu,subdomains,35.228.128.110,,28,5171409,32,30,0,0,36,32,5,140,140,2,0,3,0,0,0,0,40,112
23,jbgymnasiet.se,subdomains,93.188.2.53,,28,5267342,124,90,1,4,112,102,87,631,581,112,38,28,0,0,2,11,17,6
10,radonmätningar.se,subdomains,35.228.128.110,,27,5848750,21,19,0,0,24,22,3,122,122,5,0,11,0,0,0,0,40,37
7,jobprofiles.org,subdomains,185.41.88.168,,27,5860685,740,558,1,25,496,410,43,20027,19943,1606,8,865,0,0,6,132,9,0
19,tandlakareostermalm.nu,subdomains,185.133.206.152,,27,5863977,32,24,0,0,36,33,6,130,121,15,9,0,0,0,0,0,22,2
4,fastningsguiden.com,subdomains,94.46.119.106,,27,5969359,219,178,0,0,168,129,3,1121165,1121139,130,24,476,0,0,0,0,12,101
5,bergvärmepumpstockholm.se,subdomains,185.133.206.152,,27,6119547,22,15,0,0,24,23,8,153,145,12,8,0,0,0,0,0,18,3
38,williamchand.nu,subdomains,185.133.206.152,,26,6455205,16,13,0,0,16,15,18,57,57,11,0,3,0,0,0,0,2,0
165,fjallraven-kanken.se,subdomains,194.9.94.86,,26,6515750,213,212,0,9,218,201,12,5026,5018,1,0,0,0,0,0,50,0,0
113,90.nu,subdomains,,,26,6665900,42,42,0,0,37,29,0,83,83,0,0,0,0,0,0,0,0,0
8,självdragsventilation.se,subdomains,35.228.254.252,,26,6781337,17,17,0,0,20,18,6,65,65,0,0,0,0,0,0,0,49,132
2,paradisehotel.nu,subdomains,35.228.74.13,,25,6966926,68,53,0,0,65,57,5,246,238,32,5,31,3,0,0,0,329,1290
8,skatterätt.nu,subdomains,185.133.206.152,,24,7587919,15,12,0,0,19,19,3,67,67,5,0,0,0,0,0,0,34,41
8,brottmålstockholm.se,subdomains,35.228.53.67,,24,7980830,14,12,0,0,16,16,6,71,71,6,0,2,0,0,0,0,16,22
61,clear22.com,subdomains,,,23,8023336,8,5,0,0,10,10,1,314,314,4,0,0,0,0,0,0,0,0
39,polarboden.net,subdomains,,,24,8100605,11,9,0,0,17,10,2,99,98,3,0,22,0,0,0,0,0,0
9,japentreprenad.se,subdomains,185.196.39.245,,23,8105833,52,37,0,0,64,59,19,435,420,36,15,12,0,0,0,0,2,22
17,advokatörebro.se,subdomains,35.228.119.231,,23,8268513,6,5,0,0,4,4,4,18,18,1,0,0,0,0,0,0,23,51
29,vpnserver.se/,subdomains,93.188.2.51,,23,8407697,21,19,0,0,21,20,18,46,43,0,3,0,0,0,0,0,23,8
41,dartmoorponny.org,subdomains,,,23,8492671,25,19,0,0,31,28,5,82,82,12,0,7,0,0,0,0,0,0
29,guldsmedstockholm.nu,subdomains,35.228.85.216,,22,8533710,20,15,0,0,21,21,5,61,60,9,1,0,0,0,0,0,9,56
22,lansnykter.se,subdomains,188.114.234.78,,22,8539433,49,33,0,0,64,54,19,912,903,46,8,3,0,0,0,0,3,0
10,laddstolparstockholm.com,subdomains,35.228.53.67,,22,8781243,21,18,0,0,24,21,8,69,66,2,3,16,0,0,0,0,26,16
10,longleaf.io/,subdomains,93.188.2.52,,22,8883919,14,12,0,0,54,29,6,5226,5226,4719,0,0,0,0,0,0,0,0
154,wmef.org,subdomains,,,21,9156496,35,26,1,0,38,35,1,97,96,52,0,2,0,0,1,0,0,0
9,egenhemsida.net,subdomains,91.201.60.88,,21,9177893,36,20,0,0,34,32,36,221,144,26,77,3,0,0,0,0,15,4
37,sum-sim.se,subdomains,94.46.61.25,,21,9205462,34,23,0,0,51,42,13,1227,1218,40,9,256,0,0,0,0,7,0
78,rormokarevarmland.se,subdomains,194.9.94.85,,21,9240812,30,29,0,0,31,29,2,86,86,8,0,0,0,0,0,0,0,0
11,ayaka.tv,subdomains,194.9.94.85,,21,9273954,209,155,0,3,221,197,4,1331,1330,131,1,30,0,0,0,5,0,0
30,snickareinacka.se/,subdomains,,,21,9336557,15,15,0,0,15,14,6,152,152,0,0,0,0,0,0,0,2,8
18,naprapatöstermalm.se,subdomains,185.133.206.152,,21,9354195,11,9,0,0,13,12,5,69,61,1,8,0,0,0,0,0,19,53
5,proana.se,subdomains,185.133.206.152,,20,9796155,39,34,0,0,40,38,12,200,200,35,0,2,0,0,0,0,11,345
15,fastighetsvärme.nu,subdomains,185.133.206.152,,20,9941300,8,5,0,0,8,8,9,33,26,4,7,0,0,0,0,0,4,0
2,talivetavsig.se,subdomains,185.133.206.152,,20,10058981,29,27,0,0,29,26,16,96,96,15,0,2,0,0,0,0,96,437
30,stockholmaktiviteter.se,subdomains,185.133.206.152,,20,10063499,26,20,0,0,28,26,7,3438,3437,3277,1,18,0,0,0,0,25,0
47,ps19.se,subdomains,188.114.239.32,,20,10279000,24,18,0,0,14,11,9,63,56,5,7,7,0,0,0,0,2,0
