Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,2024-01-02 10:11:40,2024-01-02 10:11:40,Exchange to SEK,5000.00,0.00,SEK,COMPLETED,5000.00
TRANSFER,Current,2024-01-02 10:12:27,2024-01-02 10:14:36,Transfer to Revolut user,-5000.00,0.00,SEK,COMPLETED,0.00
EXCHANGE,Current,2024-01-05 15:59:34,2024-01-05 15:59:34,Exchange to SEK,5000.00,0.00,SEK,COMPLETED,5000.00
TRANSFER,Current,2024-01-05 15:59:45,2024-01-05 15:59:46,Transfer to Revolut user,-5000.00,0.00,SEK,COMPLETED,0.00
CARD_CREDIT,Current,2024-01-07 20:08:09,2024-01-07 20:08:09,Spooniker,3346.00,0.00,SEK,COMPLETED,3346.00
EXCHANGE,Current,2024-01-08 14:03:21,2024-01-08 14:03:21,Exchange to EUR,-146.00,0.00,SEK,COMPLETED,3200.00
TRANSFER,Current,2024-01-08 14:02:59,2024-01-09 09:39:08,International Transfer,-3200.00,0.00,SEK,COMPLETED,0.00
EXCHANGE,Current,2024-01-11 18:22:29,2024-01-11 18:22:29,Exchange to SEK,600.00,0.00,SEK,COMPLETED,600.00
TRANSFER,Current,2024-01-11 21:19:07,2024-01-11 21:19:08,Transfer to Revolut user,-600.00,0.00,SEK,COMPLETED,0.00
REWARD,Current,2024-01-12 21:37:03,2024-01-12 21:37:03,Referral reward,700.00,0.00,SEK,COMPLETED,700.00
EXCHANGE,Current,2024-01-14 14:59:16,2024-01-14 14:59:16,Exchange to SEK,22.48,0.22,SEK,COMPLETED,722.26
TRANSFER,Current,2024-01-14 15:00:58,2024-01-14 15:00:58,Transfer to Revolut user,-374.00,0.00,SEK,COMPLETED,348.26
CARD_PAYMENT,Current,2024-01-12 23:52:57,2024-01-15 11:23:29,Brooklyn Craft,-33.90,0.34,SEK,COMPLETED,314.02
TOPUP,Current,2024-01-15 13:18:27,2024-01-15 13:18:48,Top-Up by *7097,1471.00,0.00,SEK,COMPLETED,1785.02
EXCHANGE,Current,2024-01-15 16:25:13,2024-01-15 16:25:13,Exchange to EUR,-1404.80,0.00,SEK,COMPLETED,380.22
CARD_PAYMENT,Current,2024-01-13 18:59:22,2024-01-15 17:32:25,El Corte Inglés,-99.43,0.99,SEK,COMPLETED,279.80
CARD_PAYMENT,Current,2024-01-13 11:18:48,2024-01-15 17:50:16,Glovo,-211.05,2.11,SEK,COMPLETED,66.64
CARD_PAYMENT,Current,2024-01-15 14:16:41,2024-01-16 11:42:57,Tabacos 58,-66.64,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-01-17 17:51:27,2024-01-17 17:51:47,Top-Up by *7097,1153.00,0.00,SEK,COMPLETED,1153.00
EXCHANGE,Current,2024-01-17 17:52:05,2024-01-17 17:52:05,Exchange to EUR,-1153.00,0.00,SEK,COMPLETED,0.00
TRANSFER,Current,2024-01-20 20:50:25,2024-01-20 20:50:25,Transfer from Revolut user,140.00,0.00,SEK,COMPLETED,140.00
EXCHANGE,Current,2024-01-21 18:40:29,2024-01-21 18:40:29,Exchange to EUR,-33.17,0.00,SEK,COMPLETED,106.83
CARD_PAYMENT,Current,2024-01-20 20:54:32,2024-01-22 14:31:22,El Corte Inglés,-106.83,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-01-23 13:59:31,2024-01-23 13:59:39,Top-Up by *7097,500.00,0.00,SEK,COMPLETED,500.00
TOPUP,Current,2024-01-23 23:54:41,2024-01-23 23:54:45,Top-Up by *7097,199.00,0.00,SEK,COMPLETED,699.00
EXCHANGE,Current,2024-01-24 05:44:29,2024-01-24 05:44:29,Exchange to EUR,-216.70,0.00,SEK,COMPLETED,482.30
CARD_PAYMENT,Current,2024-01-23 14:25:40,2024-01-24 13:52:12,Sapporet Bar,-59.11,0.00,SEK,COMPLETED,423.19
CARD_PAYMENT,Current,2024-01-23 14:49:18,2024-01-24 13:53:44,Tabacos,-56.83,0.00,SEK,COMPLETED,366.36
CARD_PAYMENT,Current,2024-01-23 15:31:18,2024-01-24 15:06:27,pandadoc.com,-366.36,0.00,SEK,COMPLETED,0.00
TRANSFER,Current,2024-01-25 22:31:43,2024-01-25 22:31:43,Transfer from Revolut user,1300.00,0.00,SEK,COMPLETED,1300.00
EXCHANGE,Current,2024-01-25 22:32:41,2024-01-25 22:32:41,Exchange to SEK,52.45,0.00,SEK,COMPLETED,1352.45
TRANSFER,Current,2024-01-25 22:33:04,2024-01-25 22:33:05,"Revolut Bank UAB, Sucursal en España",-1352.00,0.00,SEK,COMPLETED,0.45
TOPUP,Current,2024-01-28 15:29:49,2024-01-28 15:29:53,Top-Up by *7097,300.00,0.00,SEK,COMPLETED,300.45
EXCHANGE,Current,2024-01-28 15:30:04,2024-01-28 15:30:04,Exchange to EUR,-300.45,0.00,SEK,COMPLETED,0.00
TRANSFER,Current,2024-01-28 15:39:56,2024-01-28 15:39:56,"Revolut Bank UAB, Sucursal en España",2.00,0.00,SEK,COMPLETED,2.00
EXCHANGE,Current,2024-01-28 15:41:11,2024-01-28 15:41:11,Exchange to EUR,-2.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-01-30 01:26:47,2024-01-30 01:27:11,Top-Up by *7097,2000.00,0.00,SEK,COMPLETED,2000.00
